,dia1,dia2,radius1,radius2,radius3,radius4,radius5,distance1,distance2,distance3,distance4,distance5,distance6,distance7,distance8,distance9,judgement
29,10.09,10.08,24.96,31.14,29.82,6.07,20.11,65.8,21.93,36.01,100.06,125.37,179.37,38.19,15.19,21.7,1
30,9.98,9.94,24.82,30.82,29.98,5.96,19.98,65.88,22.23,35.94,99.6,124.83,180.75,38.01,15.1,21.85,1
31,9.95,9.91,25.19,31.02,30.14,6.09,19.88,65.78,22.13,36.24,99.5,124.66,180.64,38.09,15.27,21.74,1
32,9.79,9.72,24.33,31.61,29.05,6.16,19.46,66.6,21.16,35.87,100.57,124.65,181.74,36.99,16.29,22.63,0
33,10.04,10.05,24.87,30.87,29.86,6.01,20.01,66.33,21.85,36.13,100.03,125.28,179.94,38.14,14.94,22.0,1
34,10.06,10.02,25.12,30.98,29.83,6.03,19.92,66.61,21.82,36.11,100.44,125.15,180.3,38.1,15.21,21.9,1
35,10.02,9.97,25.0,31.0,29.83,6.08,20.01,66.12,22.24,36.16,99.87,125.01,179.21,37.77,15.07,22.14,1
36,9.45,8.74,23.46,29.51,28.45,4.53,18.15,64.24,20.65,35.47,98.09,123.66,178.98,36.0,13.62,20.6,0
37,8.88,10.03,25.35,31.8,30.21,5.07,20.24,67.08,22.88,36.68,99.88,125.93,178.25,39.17,13.83,21.99,1
38,9.79,10.32,24.88,29.84,30.66,5.14,20.5,66.08,22.6,36.02,100.11,125.92,181.15,36.8,13.82,20.88,0
39,9.75,9.07,23.56,30.52,29.19,5.49,18.1,65.5,20.84,34.33,98.41,123.58,178.32,36.31,14.24,20.26,0
40,10.03,10.07,24.84,30.87,29.9,5.97,20.11,66.1,21.75,36.25,99.64,124.58,179.36,37.81,15.06,22.07,1
41,10.02,10.09,24.86,31.08,30.04,6.02,20.13,66.36,22.02,35.84,100.35,124.56,180.36,37.98,15.09,21.85,1
42,10.09,10.05,25.05,30.83,29.92,5.93,19.88,66.53,21.91,35.78,100.46,124.93,180.03,38.06,14.72,22.18,1
43,11.07,11.13,26.86,32.09,30.67,7.11,21.24,64.57,22.34,37.85,100.86,126.6,181.16,40.51,15.94,23.04,0
44,10.03,10.04,25.12,31.03,30.02,6.05,19.87,66.3,21.91,35.74,99.51,124.64,180.78,37.98,15.19,22.05,1
45,9.99,9.95,24.81,31.06,30.17,6.1,20.12,66.06,21.99,35.84,99.64,124.96,179.67,38.0,15.28,21.73,1
46,10.08,10.03,25.17,31.13,30.08,5.95,19.99,66.53,21.8,35.73,100.42,124.94,180.63,37.83,14.78,22.22,1
47,10.28,10.2,26.49,31.43,31.15,7.21,21.99,64.78,23.31,37.5,101.37,125.71,180.93,40.3,15.78,23.81,0
48,10.61,10.23,25.7,31.37,30.94,6.59,20.68,64.89,22.6,37.77,101.14,125.92,180.91,38.88,16.41,22.98,0
49,10.05,10.02,25.14,31.11,29.91,5.92,20.06,66.33,22.05,36.27,100.32,124.72,180.25,37.97,15.02,22.27,1
50,10.14,10.44,25.95,32.57,31.21,6.11,22.28,64.7,23.29,36.83,100.69,126.87,181.45,40.92,15.73,23.72,0
51,9.95,10.06,24.99,31.19,30.11,6.05,20.17,66.58,22.2,36.19,100.48,124.81,180.26,37.83,15.07,22.13,1
52,11.17,10.96,26.92,32.73,30.35,6.49,21.75,64.33,22.39,36.89,100.89,126.43,181.98,39.47,15.89,22.58,0
53,10.0,9.96,24.94,31.18,29.9,6.02,20.05,65.74,21.83,36.0,100.25,125.17,179.22,38.23,14.85,21.76,1
54,9.0,9.26,24.28,29.07,29.23,5.84,18.42,65.34,20.28,34.34,98.95,124.17,178.14,36.98,14.33,20.64,0
55,10.01,10.1,25.07,31.15,30.18,6.02,20.01,66.1,21.71,35.99,99.79,124.6,180.2,37.82,15.23,22.22,1
56,10.09,9.99,24.87,31.14,30.16,6.08,20.03,65.76,21.92,35.8,100.05,125.25,179.4,38.23,15.13,22.1,1
57,10.06,9.91,25.03,31.15,29.93,5.97,20.07,66.18,21.79,35.85,100.45,125.25,180.34,37.8,15.01,21.98,1
58,9.92,10.08,25.18,30.97,29.85,5.99,20.14,66.12,22.08,35.84,100.15,124.61,179.54,37.95,14.97,21.89,1
59,9.93,9.9,25.05,30.91,29.96,5.92,19.83,65.85,21.83,35.95,100.42,125.13,179.67,37.8,15.16,22.1,1
60,10.07,10.06,24.83,30.83,30.07,6.01,19.85,66.58,22.07,36.01,99.73,124.5,180.68,38.28,15.1,22.28,1
61,10.12,11.15,26.96,31.53,31.3,7.46,21.85,65.59,23.12,37.8,101.08,126.37,181.56,39.93,15.96,22.36,0
62,10.72,9.76,25.52,29.66,29.91,5.81,19.93,67.24,21.12,35.1,99.21,123.69,179.35,37.93,13.81,22.92,0
63,9.5,9.99,25.81,31.65,29.99,5.78,20.42,64.75,22.99,36.64,100.45,125.16,179.32,39.18,15.56,22.42,0
64,10.02,9.97,24.92,31.0,29.9,5.98,19.82,66.15,22.05,35.97,99.97,125.01,180.26,38.11,15.08,21.72,1
65,10.09,10.03,24.95,31.05,29.86,5.93,19.92,65.74,21.75,36.17,99.62,125.2,180.51,37.74,14.7,21.96,1
66,8.43,9.09,23.44,30.79,29.57,4.82,19.47,64.7,21.01,35.54,98.97,124.35,178.6,36.5,13.53,20.66,0
67,10.09,10.74,25.52,31.8,30.31,5.02,20.17,64.74,21.24,35.63,99.11,125.07,180.1,36.84,15.18,20.78,0
68,10.05,10.1,24.89,30.81,29.86,6.02,19.99,66.02,22.17,35.93,100.18,125.41,180.07,38.29,15.01,21.98,1
69,9.34,9.06,24.39,29.88,30.92,6.5,20.69,67.3,21.18,36.67,100.44,124.68,178.9,36.73,15.8,21.96,1
70,11.17,10.22,25.77,31.68,30.47,6.11,20.23,64.09,22.68,37.85,101.45,125.67,181.33,39.57,16.1,23.26,0
71,10.08,9.94,25.19,31.01,29.82,6.0,20.1,66.26,22.13,35.74,100.19,125.02,179.83,38.23,15.05,21.72,1
72,10.0,10.0,24.84,31.09,30.0,6.06,19.87,66.16,21.85,35.85,99.54,124.67,180.15,37.89,14.74,21.86,1
73,9.92,10.08,25.14,31.16,30.14,6.04,19.95,65.79,21.79,36.27,100.16,124.81,180.33,37.79,15.12,21.72,1
74,10.08,10.09,24.93,31.19,30.11,6.0,19.93,66.46,22.25,35.81,99.96,125.45,179.91,38.16,14.88,21.75,1
75,10.79,10.31,24.76,32.29,29.3,6.69,20.21,66.87,22.65,36.5,99.97,126.39,178.21,37.85,16.28,20.84,0
76,10.96,10.21,25.49,30.75,30.17,6.12,20.51,65.68,21.27,34.75,100.8,125.06,181.8,38.8,14.77,21.05,1
77,9.9,9.97,25.18,30.96,29.97,5.95,20.16,65.86,21.78,36.27,100.2,125.46,180.06,38.15,15.2,21.72,1
78,10.09,10.05,25.2,31.11,29.82,5.91,20.11,66.22,21.81,36.26,100.21,124.63,179.41,37.99,15.22,21.7,1
79,10.08,10.05,24.95,31.18,29.97,6.07,20.05,66.44,21.98,36.22,99.91,125.29,179.63,37.91,15.18,21.93,1
80,10.07,9.94,25.03,31.03,30.1,6.09,19.98,65.93,21.96,36.22,100.03,125.23,180.7,37.85,14.9,22.07,1
81,10.04,10.07,24.82,30.81,29.97,5.93,20.04,66.03,21.81,35.92,99.69,124.53,180.75,38.09,14.88,21.85,1
82,10.02,9.93,24.98,30.83,29.84,5.97,20.2,65.65,22.18,35.9,100.49,124.79,180.42,37.71,15.06,22.25,1
83,8.62,8.55,24.1,30.02,30.17,5.71,19.33,67.23,20.8,35.19,98.92,125.81,180.98,37.45,15.73,23.13,1
84,10.07,10.04,25.06,31.07,29.97,6.02,19.88,66.32,21.91,35.97,99.7,125.5,179.72,37.98,15.16,22.25,1
85,10.06,10.0,25.17,31.01,30.07,6.03,20.06,66.56,21.7,35.76,100.18,124.88,179.82,37.78,14.7,21.72,1
86,10.05,9.92,25.13,30.91,30.13,6.1,19.81,65.84,22.3,36.22,100.29,124.65,179.34,38.26,15.1,21.82,1
87,10.04,10.08,24.91,30.91,29.91,5.95,19.94,66.46,21.75,35.72,100.17,125.41,180.67,37.78,14.71,21.8,1
88,8.83,8.79,25.87,29.94,29.66,5.32,20.05,66.82,21.35,36.66,98.94,124.51,180.81,38.6,14.81,21.25,0
89,8.74,10.06,24.04,31.31,29.85,6.62,19.34,66.2,22.77,35.68,98.61,124.3,178.57,37.82,15.76,21.53,1
90,9.58,9.62,24.79,30.27,28.06,5.14,19.74,64.35,21.51,35.42,99.34,123.03,178.02,36.82,13.16,21.55,0
91,10.0,10.0,24.95,30.96,30.15,6.01,19.84,65.94,22.08,35.97,100.39,125.32,180.01,37.87,15.18,22.08,1
92,9.4,10.13,25.38,30.39,29.55,6.4,21.03,65.46,22.56,36.76,98.57,125.95,179.08,38.2,14.83,23.13,0
93,9.95,10.15,25.41,31.02,30.73,5.94,19.58,67.37,23.26,35.09,101.38,126.24,180.67,37.68,15.3,21.45,0
94,10.04,9.93,24.87,30.9,29.93,5.94,20.18,65.9,22.2,35.75,100.02,125.37,179.41,38.1,14.86,22.19,1
95,10.01,9.96,25.11,31.04,30.05,5.95,20.12,66.29,21.86,35.82,100.2,125.06,179.38,38.03,15.28,21.98,1
96,10.21,8.78,25.64,29.9,30.11,6.54,18.81,65.04,21.3,35.46,99.0,124.66,179.15,38.31,14.02,21.56,1
97,10.06,9.95,25.05,30.85,29.82,6.02,20.13,66.17,21.98,35.91,99.84,125.01,179.58,38.24,14.95,21.99,1
98,10.09,9.94,25.08,31.15,30.02,6.07,20.02,66.42,22.27,35.92,100.34,125.42,180.17,38.03,14.92,22.23,1
99,10.06,9.91,25.18,30.91,30.09,6.1,20.05,65.82,21.74,36.29,100.37,124.94,179.26,38.25,15.12,22.14,1
100,9.98,10.01,25.03,30.97,29.82,6.09,20.14,66.28,22.13,35.95,99.77,125.04,180.32,38.21,14.93,21.88,1
101,9.94,9.95,24.91,30.96,29.91,6.01,20.06,66.31,22.2,35.84,100.25,125.28,180.48,37.77,14.86,22.08,1
102,9.91,10.05,25.09,30.93,29.94,5.94,20.14,66.36,22.23,35.91,100.31,125.28,179.47,38.22,14.93,21.89,1
103,10.04,10.06,24.99,30.8,30.19,6.06,20.16,66.01,22.22,35.86,100.41,125.27,179.76,38.3,15.2,22.19,1
104,10.46,10.07,25.87,31.55,29.03,6.89,19.61,65.27,21.8,35.61,98.69,126.38,179.53,36.74,15.24,22.77,1
105,10.32,10.35,25.44,31.7,30.44,7.29,21.03,64.48,23.22,36.5,101.96,126.06,181.51,38.68,15.99,22.52,0
106,9.5,8.4,23.68,30.8,29.32,5.84,18.66,64.59,21.14,34.02,98.73,123.42,178.22,37.03,14.02,20.61,0
107,10.08,9.92,24.99,31.09,30.08,5.92,20.17,65.99,21.73,35.87,99.87,124.55,180.16,38.0,15.02,21.73,1
108,10.28,10.63,25.21,30.38,29.2,5.59,19.42,67.19,22.09,36.29,98.54,124.65,180.03,39.22,13.77,21.59,0
109,10.57,9.25,24.16,30.07,29.64,5.76,19.87,66.44,20.97,36.08,100.83,125.88,181.52,38.65,13.82,22.37,1
110,9.43,8.59,23.9,29.9,29.62,4.59,18.4,65.52,21.07,35.17,99.39,124.1,178.74,36.39,13.64,20.25,0
111,9.96,9.99,24.84,31.11,29.84,5.98,19.92,65.72,22.04,35.91,100.44,125.44,180.72,37.7,14.74,22.02,1
112,10.02,9.95,24.99,30.98,29.97,5.92,19.92,66.39,22.09,35.94,100.27,124.54,179.48,37.79,15.16,21.73,1
113,9.98,10.05,24.84,30.82,30.17,5.93,19.88,66.23,21.98,35.81,100.24,124.98,179.57,37.89,14.74,21.89,1
114,10.05,9.91,24.84,31.04,29.93,5.99,20.19,66.39,22.29,35.73,100.39,125.4,179.81,37.89,15.21,21.77,1
115,10.04,10.08,25.1,31.02,29.95,6.0,19.83,66.53,22.19,35.78,100.06,124.75,180.65,38.25,14.71,22.26,1
116,10.15,10.69,25.39,31.23,31.29,7.25,20.23,65.37,22.92,36.48,101.73,125.86,181.54,38.61,15.4,23.78,0
117,9.98,10.06,24.99,30.93,29.86,6.05,20.04,66.0,21.82,36.07,99.97,125.31,179.34,38.0,15.24,22.22,1
118,9.36,9.24,23.61,30.01,29.05,5.3,19.36,64.84,21.07,35.64,98.55,124.28,178.99,37.33,14.36,20.78,0
119,10.02,10.06,24.88,31.04,30.07,6.09,19.91,65.63,22.26,36.14,99.72,124.55,180.5,37.91,15.11,22.17,1
120,10.1,10.03,25.12,30.95,30.14,5.9,20.15,66.19,21.83,35.79,99.73,124.51,179.83,37.74,14.9,21.92,1
121,9.74,8.65,24.76,29.55,30.73,7.08,20.26,66.17,22.81,35.53,101.01,125.55,180.39,39.02,15.64,21.86,1
122,8.36,8.29,23.39,29.19,29.35,4.28,18.75,65.51,20.44,35.52,98.37,124.45,178.87,37.43,13.21,21.25,0
123,9.96,10.09,25.1,31.08,29.92,6.07,20.12,66.6,22.28,36.19,99.96,124.97,179.52,38.06,14.88,21.8,1
124,8.52,9.41,24.59,31.11,30.89,6.58,20.11,67.32,21.04,36.55,100.58,125.37,181.68,37.57,13.93,21.48,0
125,9.91,9.99,24.99,31.02,30.16,6.04,20.08,65.98,22.23,35.99,99.59,124.55,179.93,38.02,15.08,22.02,1
126,8.91,8.79,24.35,30.05,28.54,4.47,18.18,64.61,21.52,34.67,98.36,123.27,178.2,36.59,13.6,20.81,0
127,10.04,10.03,24.88,31.03,30.15,5.97,20.11,65.68,22.05,36.28,99.52,125.35,180.07,38.02,15.19,22.13,1
128,10.02,10.05,24.8,31.14,29.96,6.03,19.99,66.57,22.05,35.98,99.77,125.17,180.25,38.3,15.02,22.12,1
129,9.86,10.48,24.33,32.03,31.0,6.68,21.05,65.12,21.96,35.06,98.75,124.15,180.85,37.95,15.29,23.0,1
130,10.09,9.99,24.97,31.07,30.17,5.98,19.94,65.76,21.97,35.91,100.01,124.65,179.53,38.02,14.76,22.25,1
131,9.99,9.99,25.06,31.02,29.98,6.09,20.19,66.29,21.8,36.01,100.04,124.65,180.59,38.23,15.12,22.07,1
132,10.06,10.0,25.01,30.81,29.89,5.95,19.81,66.15,21.76,36.2,100.48,125.39,180.31,38.19,14.75,21.93,1
133,9.89,9.99,25.04,32.03,31.16,6.32,20.39,67.46,22.55,35.34,98.97,124.95,179.12,37.78,14.08,21.92,0
134,8.64,9.49,25.63,29.86,31.1,5.74,19.63,64.73,21.16,36.98,100.62,125.75,179.89,39.09,15.04,21.38,0
135,9.38,8.38,24.39,29.85,29.22,4.99,19.43,64.46,21.7,34.99,98.49,123.09,178.91,37.17,14.26,21.23,0
136,9.69,8.99,23.66,30.18,29.6,5.69,19.75,65.38,20.09,34.98,98.81,124.02,179.19,36.31,13.13,20.32,0
137,10.43,10.42,26.53,32.21,30.41,6.68,20.78,64.06,23.61,37.89,101.42,125.8,181.43,38.67,16.33,23.69,0
138,8.56,8.53,25.34,29.96,29.57,5.05,19.07,64.75,22.38,36.47,99.68,123.71,178.93,39.26,15.12,21.7,1
139,10.01,10.09,25.0,31.12,29.88,6.1,20.09,65.9,21.96,35.77,100.36,125.12,180.33,38.28,15.05,22.27,1
140,10.93,11.17,25.34,32.13,30.34,7.41,22.38,64.46,23.84,37.46,101.89,126.77,180.94,38.97,15.78,23.85,0
141,10.03,10.0,24.82,31.09,30.09,6.0,19.97,65.82,22.07,35.78,100.43,124.65,179.76,38.28,14.91,22.16,1
142,10.0,10.06,25.12,31.18,29.88,6.06,19.9,65.98,22.22,36.1,99.65,124.89,180.06,37.81,15.3,22.24,1
143,10.15,10.98,25.01,29.93,29.55,6.81,20.7,67.25,21.07,36.65,99.87,124.56,180.61,36.75,15.58,22.43,1
144,9.97,9.92,25.03,31.04,29.83,6.05,20.01,66.51,22.11,36.28,100.32,124.95,180.05,37.77,15.14,22.08,1
145,10.13,8.57,24.39,31.66,29.43,6.7,20.06,65.97,21.26,36.31,98.74,123.86,180.54,37.95,15.87,22.1,1
146,10.72,9.16,24.95,30.35,29.07,6.05,19.79,65.6,22.42,36.79,101.46,126.06,178.65,37.48,15.98,22.42,0
147,10.04,10.02,25.12,30.82,29.94,6.01,20.19,66.17,22.13,36.08,99.56,125.11,180.11,37.72,15.16,21.87,1
148,9.9,10.09,25.14,30.98,29.83,6.03,20.15,65.87,21.91,35.76,99.79,124.53,179.55,38.1,15.13,21.96,1
149,10.03,10.07,25.06,30.99,29.93,5.91,19.82,65.99,21.75,35.89,99.91,125.36,179.99,37.89,15.28,22.3,1
150,10.02,9.96,24.89,30.81,29.82,6.03,20.17,66.53,21.92,36.02,100.36,124.55,180.09,38.03,14.95,21.79,1
151,9.95,10.06,24.83,31.19,30.19,6.08,19.96,65.73,22.29,36.06,100.16,125.05,179.69,38.21,14.89,21.98,1
152,9.94,10.0,24.99,31.18,30.18,6.08,19.97,65.85,22.02,35.85,99.95,124.77,179.97,37.86,15.02,22.13,1
153,10.02,9.94,25.14,30.84,29.82,5.96,20.01,65.84,21.71,35.87,99.69,124.67,180.45,38.03,15.1,21.82,1
154,10.06,9.94,25.04,31.17,29.91,5.91,19.91,66.4,21.95,36.0,99.59,124.91,179.29,38.21,14.78,21.73,1
155,10.07,9.98,24.84,31.1,29.9,6.04,19.87,66.09,21.99,36.29,100.07,125.5,180.67,37.76,14.73,22.2,1
156,8.24,9.07,24.06,29.64,28.36,4.31,19.75,65.46,21.27,34.41,99.31,124.27,178.66,37.08,14.66,20.47,0
157,10.02,10.1,25.11,31.19,30.15,6.02,20.16,65.69,21.95,35.91,99.57,124.62,179.87,37.71,14.99,21.84,1
158,9.96,10.02,24.95,31.02,30.11,5.97,19.91,66.23,21.93,36.0,99.65,124.59,180.09,38.29,14.89,22.26,1
159,10.05,9.95,24.91,31.16,30.04,6.07,20.19,66.5,21.89,35.71,100.26,125.27,179.52,37.99,15.07,22.18,1
160,10.08,10.0,24.88,30.88,30.04,6.08,19.89,65.85,22.12,36.1,99.91,124.95,180.49,37.8,14.7,22.2,1
161,10.1,10.09,25.08,30.81,30.05,5.96,19.92,66.24,22.0,36.0,99.8,125.07,179.56,37.76,15.19,21.91,1
162,9.93,9.93,24.93,31.0,29.95,5.93,20.2,66.55,21.79,35.88,100.23,124.73,179.9,38.13,15.01,21.81,1
163,9.93,9.91,25.0,31.12,30.19,5.95,19.91,66.51,22.17,36.22,100.42,124.51,179.84,38.1,14.72,21.82,1
164,10.09,9.97,24.85,31.19,30.18,6.1,19.83,66.57,21.72,36.2,100.16,124.9,179.92,38.26,15.15,21.97,1
165,9.99,10.07,24.92,30.91,30.07,6.08,20.03,66.41,21.7,35.79,100.42,124.66,179.57,37.77,15.18,22.0,1
166,10.65,10.12,25.63,31.63,30.47,6.36,18.83,66.14,22.92,35.39,99.86,124.54,180.15,38.91,14.48,21.22,0
167,10.08,9.97,25.0,31.04,29.96,5.99,19.82,66.53,21.96,35.94,100.19,124.95,180.57,38.03,15.0,21.85,1
168,9.09,8.48,24.02,29.29,28.81,5.1,18.66,64.72,20.83,35.28,99.46,124.38,178.16,36.36,14.27,21.02,0
169,9.13,8.03,24.09,29.78,28.94,4.22,19.67,65.6,21.44,34.93,98.1,123.53,178.58,36.25,14.45,20.1,0
170,10.0,9.96,25.15,30.88,30.04,5.9,20.0,66.61,21.9,36.18,100.27,124.84,180.41,38.14,15.16,22.18,1
171,9.97,10.07,24.95,30.88,29.97,5.94,19.93,66.15,21.71,35.76,100.44,124.67,179.21,38.23,14.86,22.24,1
172,9.95,10.09,25.03,30.88,30.09,6.04,20.06,66.38,22.22,36.12,99.82,125.05,179.4,38.26,14.71,22.1,1
173,10.03,10.05,24.96,30.83,30.13,6.08,20.0,66.11,22.02,35.79,100.46,125.5,179.26,37.84,14.99,21.73,1
174,9.96,10.1,24.99,30.84,30.13,5.9,20.18,66.06,21.8,36.04,99.93,125.05,179.76,37.86,14.93,22.28,1
175,10.4,9.51,24.57,30.56,29.44,6.19,19.98,65.69,21.69,36.41,99.97,124.15,178.87,38.58,13.83,21.65,0
176,10.09,10.09,24.94,30.96,30.0,6.09,19.95,65.71,22.29,35.81,99.91,124.75,180.71,37.84,15.09,22.27,1
177,10.36,11.27,25.29,32.39,30.74,6.34,20.63,64.09,22.33,36.72,100.63,126.99,181.63,38.54,16.05,22.95,0
178,9.25,9.52,24.04,31.68,30.96,6.76,20.47,67.36,22.54,35.37,98.82,124.87,178.43,38.29,16.0,21.0,0
179,9.96,9.99,24.83,30.99,29.8,6.09,19.88,65.72,22.16,36.27,99.88,124.57,180.57,37.82,14.89,22.04,1
180,9.04,8.85,25.97,29.61,29.47,6.04,18.92,67.33,22.85,36.58,99.2,123.94,180.89,38.89,15.25,22.09,0
181,9.95,10.1,24.98,30.97,30.14,6.03,19.85,66.49,22.24,36.07,99.67,124.96,179.52,38.17,14.95,21.81,1
182,10.0,10.07,24.83,30.95,29.9,5.99,20.18,66.41,21.79,36.16,100.07,125.18,180.39,38.2,15.07,22.25,1
183,9.98,9.92,24.84,30.81,30.04,5.96,19.95,66.37,21.89,36.11,100.09,125.22,180.38,37.78,14.83,22.19,1
184,10.07,9.92,25.06,31.16,30.14,5.96,20.15,66.34,21.98,36.2,100.14,124.66,180.57,37.95,15.21,22.02,1
185,10.03,10.04,24.85,31.03,29.93,6.01,19.97,66.22,21.78,35.88,99.86,125.28,180.4,37.72,15.29,22.2,1
186,10.51,9.85,24.2,30.86,30.41,5.58,20.11,66.74,22.2,36.69,99.36,126.39,181.06,37.81,15.03,22.58,0
187,9.95,9.97,24.97,30.92,30.05,5.95,19.81,65.71,22.22,35.94,99.87,124.6,179.77,37.95,15.25,22.04,1
188,9.9,9.98,25.09,30.93,29.94,5.98,20.19,66.31,22.24,36.27,99.81,125.42,180.05,37.99,15.08,22.22,1
189,9.97,10.04,25.19,31.01,29.85,6.02,20.03,65.82,22.2,35.77,99.97,125.09,179.52,37.76,14.85,22.23,1
190,9.92,10.01,25.05,30.94,30.02,5.95,19.87,66.42,22.17,35.78,99.56,125.14,179.6,37.92,14.94,21.8,1
191,9.77,9.09,25.02,29.76,30.56,5.88,19.19,67.36,22.12,35.74,101.38,123.86,179.8,38.56,14.95,20.78,0
192,10.13,10.86,26.84,31.54,31.15,6.24,22.45,64.12,23.18,36.42,101.81,125.7,182.0,39.66,15.63,23.09,0
193,9.71,9.54,24.2,31.65,31.17,5.19,19.46,65.97,22.46,35.06,100.66,125.92,178.83,38.15,16.16,20.92,1
194,10.01,9.96,24.97,31.09,29.88,6.04,19.93,65.66,22.08,35.8,99.79,124.68,180.72,37.86,15.03,21.98,1
195,9.61,8.56,24.31,31.39,29.4,5.52,20.95,65.74,20.91,34.96,99.99,124.39,181.08,36.85,14.89,20.98,0
196,9.91,11.0,25.76,29.62,30.34,6.47,20.65,65.03,23.12,34.95,99.07,126.37,180.57,38.49,14.62,20.93,0
197,9.05,8.64,24.35,29.59,28.55,5.79,18.74,64.26,20.16,35.2,99.32,123.56,178.33,37.11,13.6,21.31,0
198,10.09,10.02,24.86,30.87,30.07,6.07,20.16,66.05,22.21,35.76,100.41,125.13,179.23,37.81,15.13,22.2,1
199,10.03,9.93,24.98,31.18,29.83,5.92,19.82,65.77,22.16,36.12,99.6,125.39,179.98,37.74,15.04,21.97,1
200,10.65,10.07,25.01,31.53,29.26,5.72,20.31,64.82,22.03,36.32,98.53,125.01,178.77,36.8,15.12,22.5,1
201,10.04,10.07,25.15,30.81,29.85,5.93,20.11,66.52,22.02,35.97,100.23,124.9,179.74,37.71,15.13,22.09,1
202,10.23,10.81,25.62,32.36,31.2,7.09,22.22,64.84,22.74,36.95,100.68,127.0,181.12,39.0,16.13,23.07,0
